Type,Instruction,Scenario,address
Medium,"Gather all pens and pencils from the desk, place them in the drawer of the desk, then turn on the desk lamp.",bedroom,FloorPlan311_002
Complex,"Retrieve the credit card and keychain from the desk, place them in the laptop bag on the chair, then close the laptop and move it to the side table.",bedroom,FloorPlan311_002
Simple,"Move to the counter and pick up the cup, then place it on the table in the adjacent room.",bedroom,FloorPlan311_003
Medium,"Open the cabinet under the counter, retrieve the bottle, and pour its contents into the glass on the countertop.",bedroom,FloorPlan311_003
Complex,"Retrieve the bread from the kitchen area, slice it using the knife on the counter, heat it in the microwave, and place the toasted bread onto a plate on the dining table.",bedroom,FloorPlan311_003
Simple,Move to the bed and adjust the pillows to make it neat,bedroom,FloorPlan311_004
Medium,Retrieve the remote from the dresser and turn on the TV,bedroom,FloorPlan311_004
Complex,"Pick up the lamp from the side table, place it on the dresser, and then turn on the ceiling light",bedroom,FloorPlan311_004
Simple,Turn on the lamp on the left side of the table and adjust the chair position for better seating alignment,bedroom,FloorPlan311_005
Medium,Move the laptop from the desk to the TV stand and turn on the monitor,bedroom,FloorPlan311_005
Complex,"Retrieve the remote control from the TV stand, place it on the armchair, then turn on both lamps in the room and open the drawer under the TV stand to store a small object",bedroom,FloorPlan311_005
Simple,Pick up the pen from the desk and place it in the top shelf compartment,bedroom,FloorPlan312_001
Medium,Collect the keychain and credit card from the floor and put them inside the drawer of the desk,bedroom,FloorPlan312_001
Complex,"Retrieve the book from the bottom shelf, open it on the desk, and use the pencil to mark a note on the first page before placing it back on the shelf",bedroom,FloorPlan312_001
Simple,Move the red pillow to the head of the bed and adjust the blue blanket neatly.,bedroom,FloorPlan312_002
Medium,"Pick up the laptop from the bed, place it on the side table, and close the laptop lid.",bedroom,FloorPlan312_002
Complex,"Open the drawer, retrieve a book if present, place it on the bed beside the laptop, then fold the blanket over the book and pillow.",bedroom,FloorPlan312_002
Simple,Pick up the laptop from the bed and place it on the desk,bedroom,FloorPlan312_003
Medium,Retrieve the dumbbells from the floor and place them neatly on the shelf,bedroom,FloorPlan312_003
Complex,"Open the drawer, take out the notebook, place it on the desk, then close the drawer and turn on the lamp",bedroom,FloorPlan312_003
Simple,Move to the desk and organize the papers into a neat stack,bedroom,FloorPlan312_004
Medium,"Pick up the book from the desk, place it on the top shelf of the bookshelf, then close the drawer under the desk",bedroom,FloorPlan312_004
Complex,"Retrieve the laptop from the desk, carry it to the chair, open it, and then move it back to the desk while ensuring all cables are properly connected",bedroom,FloorPlan312_004
Simple,Move the alarm clock from the side table to the top of the shelving unit,bedroom,FloorPlan313_001
Medium,Rearrange the books on the shelf by placing the red book in the second row and the blue book in the first row,bedroom,FloorPlan313_001
Complex,"Pick up the houseplant from the top of the shelving unit, place it on the floor beside the chair, then return it to its original position",bedroom,FloorPlan313_001
Simple,Pick up the mug from the desk and place it on the shelf,bedroom,FloorPlan313_002
Medium,"Open the drawer, retrieve the pen, and place it in the tissue box on the desk",bedroom,FloorPlan313_002
Complex,"Turn on the desk lamp, pick up the book, open it, and place it on the chair next to the desk",bedroom,FloorPlan313_002
Simple,Tuck the blanket neatly around the bed and place the teddy bear on the pillow,bedroom,FloorPlan313_003
Medium,Pick up the tennis racket from the floor and place it in a corner near the wall,bedroom,FloorPlan313_003
Complex,"Fold the blanket properly, adjust the pillow, and position the teddy bear sitting upright on the bed",bedroom,FloorPlan313_003
Simple,Close the blinds on the window to block out the light,bedroom,FloorPlan313_004
Medium,Pick up the keychain from the desk and place it in the drawer,bedroom,FloorPlan313_004
Complex,"Open the drawer, retrieve the CD from inside, place it on the desk, then close the drawer",bedroom,FloorPlan313_004
Simple,Make the bed by pulling up the blanket and smoothing it out,bedroom,FloorPlan314_001
Medium,Retrieve the pillow from the floor and place it neatly on the bed,bedroom,FloorPlan314_001
Complex,"Move to the door, open it, pick up the trash can from the corner, and return it to the bedside table",bedroom,FloorPlan314_001
Simple,Pick up the credit card from the desk and place it in the drawer,bedroom,FloorPlan314_002
Medium,"Turn on the laptop, then pick up the cell phone and place it on the chair",bedroom,FloorPlan314_002
Complex,"Open the drawer, retrieve the CD, insert it into the laptop, and close the drawer",bedroom,FloorPlan314_002
Simple,Open the drawer under the desk and place the laptop inside,bedroom,FloorPlan314_003
Medium,Move the chair closer to the desk and adjust its position for better seating,bedroom,FloorPlan314_003
Complex,"Retrieve a notebook from the side table, open the top drawer of the desk, place the notebook inside, then close the drawer",bedroom,FloorPlan314_003
Simple,Pick up the book from the table and place it on the top drawer.,bedroom,FloorPlan314_004
Medium,"Open the drawer, place the keychain inside, and close the drawer.",bedroom,FloorPlan314_004
Complex,"Retrieve the alarm clock from the table, move it to the floor, and set it down beside the box.",bedroom,FloorPlan314_004
Simple,Place the pen and pencil into the mug on the desk,bedroom,FloorPlan315_001
Medium,Turn on the desk lamp and organize the items on the desk by placing the credit card and keychain in the drawer,bedroom,FloorPlan315_001
Complex,"Pick up the laptop, move it to the center of the desk, open it, then turn on the desk lamp and place the mug beside the laptop",bedroom,FloorPlan315_001
Simple,Move the teddy bear from the floor to the bed and place it near the pillow,bedroom,FloorPlan315_002
Medium,Retrieve the clock from the dresser and set it on the nightstand beside the bed,bedroom,FloorPlan315_002
Complex,"Fold the bedsheet neatly, adjust the pillow position, and place the teddy bear in a sitting pose on the bed",bedroom,FloorPlan315_002
Simple,Pick up the mug from the desk and place it in the cabinet.,bedroom,FloorPlan315_003
Medium,"Turn on the lamp, then pick up the laptop and place it on the dresser.",bedroom,FloorPlan315_003
Complex,"Move the bowl from the desk to the cabinet, open the drawer under the desk, and place the pen inside before closing the drawer.",bedroom,FloorPlan315_003
Simple,Tidy the bed by straightening the yellow blanket and adjusting the pillow.,bedroom,FloorPlan315_004
Medium,Pick up the stuffed animal from the bed and place it on the dresser.,bedroom,FloorPlan315_004
Complex,"Retrieve the camera from the dresser, place it on the bed, then adjust the lighting by turning on the ceiling light.",bedroom,FloorPlan315_004
Simple,Move the chair closer to the desk and adjust its position for better ergonomics,bedroom,FloorPlan316_001
Medium,"Pick up the laptop from the desk, place it on the bed, and then turn off the monitor",bedroom,FloorPlan316_001
Complex,"Gather all items on the desk—cup, phone, notebook—and organize them into a neat arrangement, then open the drawer and store the notebook inside",bedroom,FloorPlan316_001
Simple,Pick up the pen and place it in the bowl on the desk,bedroom,FloorPlan316_002
Medium,"Open the book, place the keychain beside it, and then close the book",bedroom,FloorPlan316_002
Complex,"Turn on the desk lamp, pick up the cell phone, and place it next to the pencil before turning off the lamp",bedroom,FloorPlan316_002
Simple,Turn off the alarm clock on the nightstand,bedroom,FloorPlan316_003
Medium,Pick up the CD from the floor and place it in the drawer of the nightstand,bedroom,FloorPlan316_003
Complex,"Open the drawer, retrieve the CD, close the drawer, then place the CD on the side table",bedroom,FloorPlan316_003
Simple,Pick up the credit card from the desk and place it in the drawer of the desk,bedroom,FloorPlan316_004
Medium,Move the baseball bat from the floor to the shelf and arrange it neatly,bedroom,FloorPlan316_004
Complex,"Open the laptop, then move the garbage can closer to the desk for easy access, and finally place the credit card into the laptop's card reader if available",bedroom,FloorPlan316_004
Simple,Open the top left drawer and place the pen inside,bedroom,FloorPlan317_001
Medium,Retrieve the laptop from the dresser and place it on the white box to the left,bedroom,FloorPlan317_001
Complex,"Open the bottom right drawer, take out any hidden object, and place it on the dresser next to the bowl",bedroom,FloorPlan317_001
Simple,Turn on the lamp on the bedside table,bedroom,FloorPlan317_002
Medium,Pick up the green object from the nightstand and place it on the bed,bedroom,FloorPlan317_002
Complex,"Open the drawer of the nightstand, retrieve the book inside, and place it on the bed beside the pillows",bedroom,FloorPlan317_002
Simple,Move the teddy bear from the floor into the cardboard box,bedroom,FloorPlan317_003
Medium,Pick up the red pot and place it inside the large beige container near the window,bedroom,FloorPlan317_003
Complex,"Open the cardboard box, place the teddy bear inside, then move the box to the center of the room and close it with a lid if available",bedroom,FloorPlan317_003
Simple,Pick up the pencil and place it in the drawer of the dresser,bedroom,FloorPlan317_004
Medium,Collect the crumpled paper and cloth from the floor and dispose of them in the garbage can,bedroom,FloorPlan317_004
Complex,"Open the dresser drawer, retrieve the book, place it on the laptop, then close the drawer and move the laptop slightly to the right",bedroom,FloorPlan317_004
Simple,Pick up the pencil from the dresser and place it in the drawer.,bedroom,FloorPlan317_005
Medium,"Open the bowl, take out the credit card, and place it inside the safe.",bedroom,FloorPlan317_005
Complex,"Retrieve the book from the dresser, open it to the first page, then use the pen to write a note on a blank sheet of paper before placing the book back on the dresser.",bedroom,FloorPlan317_005
Simple,Move the chair under the desk and place the CD on the cabinet,bedroom,FloorPlan318_001
Medium,"Open the drawer, take out the phone, and place it on the desk next to the lamp",bedroom,FloorPlan318_001
Complex,"Pick up the remote from the desk, open the cabinet, place the remote inside, then close the cabinet and adjust the lamp's position on the desk",bedroom,FloorPlan318_001
Simple,Pick up the pen from the desk and place it in the drawer.,bedroom,FloorPlan318_002
Medium,"Turn on the desk lamp, then pick up the credit card and place it into the dresser drawer.",bedroom,FloorPlan318_002
Complex,"Open the drawer under the desk, retrieve the CD, place it into the cabinet, and then close the drawer.",bedroom,FloorPlan318_002
Simple,Move the purple pillow from the bed to the top of the dresser,bedroom,FloorPlan318_003
Medium,Open the drawer under the bed and place the wooden box inside it,bedroom,FloorPlan318_003
Complex,"Retrieve the small wooden block from under the bed, place it on the dresser, then open the drawer next to it and store the block inside",bedroom,FloorPlan318_003
Simple,Pick up the book from the desk and place it on the chair,bedroom,FloorPlan318_004
Medium,Move the chair closer to the desk and adjust its position for better seating,bedroom,FloorPlan318_004
Complex,"Retrieve the book from the desk, open it, read the first page, then close it and return it to the desk",bedroom,FloorPlan318_004
Simple,Pick up the book from the desk and place it on the top shelf of the bunk bed,bedroom,FloorPlan318_005
Medium,Move the chair closer to the desk and adjust the lamp so it illuminates the workspace better,bedroom,FloorPlan318_005
Complex,"Retrieve the book from the desk, take it to the couch, open it, and then return it to the desk with a cup of water placed beside it",bedroom,FloorPlan318_005
Simple,Turn on the light switch to illuminate the room,bedroom,FloorPlan318_006
Medium,Pick up the book from the desk and place it on the armchair,bedroom,FloorPlan318_006
Complex,"Retrieve the mug from the desk, fill it with water from the sink in the adjacent room, and return it to the desk",bedroom,FloorPlan318_006
Simple,"Move to the bookshelf and pick up the book on the bottom shelf, then place it on the wooden table near the window",bedroom,FloorPlan319_001
Medium,Pick up the framed picture from the floor in front of the fireplace and hang it on the wall above the mantle,bedroom,FloorPlan319_001
Complex,"Retrieve the statue from the mantle, place it on the stool by the window, then open the window blinds to let in natural light",bedroom,FloorPlan319_001
Simple,Pick up the book from the dresser and place it on the top drawer.,bedroom,FloorPlan319_002
Medium,"Turn on the desk lamp, then pick up the CD and place it in the drawer beneath the lamp.",bedroom,FloorPlan319_002
Complex,"Open the top drawer, retrieve the cell phone, place it on the dresser beside the lamp, then turn off the lamp and close the drawer.",bedroom,FloorPlan319_002
Simple,Pick up the laptop from the bed and place it on the desk,bedroom,FloorPlan319_003
Medium,Move the pillows to the head of the bed and arrange them neatly,bedroom,FloorPlan319_003
Complex,Fold the blanket at the foot of the bed and adjust the pillows for a tidy appearance,bedroom,FloorPlan319_003
Simple,Place the keychain on the shelf next to the pen,bedroom,FloorPlan319_004
Medium,Move the stool closer to the window and place the box on top of it,bedroom,FloorPlan319_004
Complex,"Retrieve the credit card from the shelf, open the drawer in the shelving unit, and place the card inside before closing the drawer",bedroom,FloorPlan319_004
Simple,Pick up the credit card from the side table and place it inside the garbage bag.,bedroom,FloorPlan320_001
Medium,Move the alarm clock to the corner of the side table and ensure it is upright.,bedroom,FloorPlan320_001
Complex,"Open the curtains fully to let in more light, then pick up the alarm clock, reset its time, and place it back on the side table next to the credit card.",bedroom,FloorPlan320_001
Simple,Move to the bed and adjust the blue blanket to cover the entire mattress.,bedroom,FloorPlan320_002
Medium,Pick up the teddy bear from the bed and place it on the desk next to the laptop.,bedroom,FloorPlan320_002
Complex,"Open the drawer under the desk, retrieve the notebook, bring it to the bed, and place it beside the pillow.",bedroom,FloorPlan320_002
Simple,Pick up the pencil from the desk and place it in the green trash bin.,bedroom,FloorPlan320_003
Medium,Move the tennis racket from the floor to the desk and place it next to the cell phone.,bedroom,FloorPlan320_003
Complex,"Pick up the basketball, place it on the desk, then move the dumbbell to the side of the desk and finally open the window curtains slightly.",bedroom,FloorPlan320_003
Simple,Move the dumbbell from the desk to the shelf beneath it,bedroom,FloorPlan320_004
Medium,Pick up the keychain from the desk and place it on the bed next to the teddy bear,bedroom,FloorPlan320_004
Complex,"Turn on the desk lamp, open the laptop, then pick up the book and place it on the top shelf of the desk unit",bedroom,FloorPlan320_004
Simple,Adjust the pillow on the bed to make it look neat,bedroom,FloorPlan321_001
Medium,Turn on the lamp on the nightstand and then place a book from the table onto the bed,bedroom,FloorPlan321_001
Complex,"Pick up the laptop from the right nightstand, move it to the left side of the bed, and place it on the bed before turning it off",bedroom,FloorPlan321_001
Simple,Pick up the credit card from the desk and place it in the drawer of the desk.,bedroom,FloorPlan321_002
Medium,"Move to the book on the desk, pick it up, and place it on the couch beside the armrest.",bedroom,FloorPlan321_002
Complex,"Turn on the lamp on the desk, then pick up the book, open it, and place it on the chair next to the desk before turning off the lamp.",bedroom,FloorPlan321_002
Simple,Pick up the credit card from the desk and place it in the laptop bag.,bedroom,FloorPlan321_003
Medium,"Open the book on the desk, flip to the first page, and use the pen to underline the title.",bedroom,FloorPlan321_003
Complex,"Move the laptop to the left side of the desk, pick up the CD, insert it into the laptop, and then close the laptop lid.",bedroom,FloorPlan321_003
Simple,Place the keychain on the side table next to the bed,bedroom,FloorPlan321_004
Medium,Pick up the tissue box from the side table and place it neatly on the armchair,bedroom,FloorPlan321_004
Complex,"Adjust the pillow on the bed, turn on the desk lamp, and then move the tissue box from the side table to the nightstand",bedroom,FloorPlan321_004
Simple,Tidy the bed by straightening the blanket and aligning the pillows,bedroom,FloorPlan321_005
Medium,Move the trash can from under the desk to the corner of the room near the wall,bedroom,FloorPlan321_005
Complex,"Retrieve the book from the desk, place it on the nightstand beside the bed, and turn on the lamp to read before sleeping",bedroom,FloorPlan321_005
